#Ang Center	  GalNAc 1	  GalNAc 2	  GalNAc 3	  GalNAc 4	All GalNAc
  76.500000  0.015280	  0.015066	  0.008419	  0.016595	  0.013840
  77.500000  0.014559	  0.013816	  0.007462	  0.015336	  0.012794
  78.500000  0.013942	  0.013008	  0.007160	  0.014575	  0.012171
  79.500000  0.013385	  0.012230	  0.006219	  0.013643	  0.011369
  80.500000  0.013055	  0.010871	  0.005948	  0.012482	  0.010589
  81.500000  0.012281	  0.009942	  0.005479	  0.011994	  0.009924
  82.500000  0.011594	  0.009269	  0.004894	  0.011103	  0.009215
  83.500000  0.010754	  0.008551	  0.004324	  0.010203	  0.008458
  84.500000  0.010071	  0.007585	  0.003830	  0.008944	  0.007608
  85.500000  0.009668	  0.006817	  0.003755	  0.008340	  0.007145
  86.500000  0.009212	  0.006335	  0.003443	  0.007292	  0.006571
  87.500000  0.008560	  0.005492	  0.003015	  0.006713	  0.005945
  88.500000  0.008261	  0.004740	  0.002703	  0.006033	  0.005434
  89.500000  0.007572	  0.004579	  0.002596	  0.005291	  0.005010
  90.500000  0.006987	  0.004132	  0.002433	  0.004664	  0.004554
  91.500000  0.006578	  0.003755	  0.002106	  0.004277	  0.004179
  92.500000  0.006187	  0.003383	  0.002172	  0.003720	  0.003866
  93.500000  0.006024	  0.003242	  0.001945	  0.003471	  0.003670
  94.500000  0.005624	  0.002984	  0.001973	  0.003169	  0.003438
  95.500000  0.005637	  0.002593	  0.001766	  0.003034	  0.003257
  96.500000  0.005099	  0.002798	  0.001838	  0.002726	  0.003115
  97.500000  0.005272	  0.002427	  0.001901	  0.002581	  0.003045
  98.500000  0.005105	  0.002600	  0.001939	  0.002776	  0.003105
  99.500000  0.004960	  0.002606	  0.002090	  0.002578	  0.003058
 100.500000  0.004696	  0.002615	  0.002194	  0.002546	  0.003013
 101.500000  0.004976	  0.002883	  0.002307	  0.002770	  0.003234
 102.500000  0.005199	  0.003015	  0.002565	  0.002741	  0.003380
 103.500000  0.005360	  0.003002	  0.002735	  0.002845	  0.003486
