#Frame            H-O        H-OG1        H2N-O      H2N-OG1
     212       3.2711       2.4547       3.0556       2.5599
     213       3.0209       2.3537       2.4715       2.5724
     214       2.9188       2.3639       3.0659       2.6474
     215       2.9864       2.6172       3.4430       2.5299
     216       3.3836       2.4708       3.0621       2.3878
     217       3.2304       2.6631       3.1174       2.3511
     218       3.0599       2.4251       3.3207       2.3873
     219       2.7732       2.3256       3.1423       2.2929
     220       2.9126       2.4890       2.9567       2.5123
     221       3.1280       2.4239       2.4088       2.5555
     222       3.1179       2.5420       2.3886       2.3426
     223       3.1805       2.4478       3.8734       2.4163
     224       2.8821       2.4232       2.6242       2.3942
     225       3.1800       2.6564       2.5869       2.3372
     226       3.2693       2.4233       3.8805       2.8491
     227       3.1136       2.5253       3.5335       2.5359
     228       2.8065       2.6077       3.1289       2.4174
     229       2.9903       2.1962       2.9396       2.3329
     230       2.9866       2.4401       3.1937       2.4771
     231       3.0128       2.6623       3.5253       2.6038
     232       2.9878       2.5999       3.1429       2.4852
     233       3.2448       2.6461       2.5990       2.5707
     234       2.8341       2.4226       2.8297       2.5076
     235       2.9965       2.5351       2.8513       2.3269
     236       3.1114       2.6709       2.9991       2.4128
     237       3.3021       2.6549       2.7396       2.5030
     238       3.0126       2.4789       2.8941       2.4929
     239       2.9213       2.6087       2.3783       2.6667
     240       3.0068       2.4674       3.9214       2.4024
     241       3.2600       2.2197       3.0320       2.5487
     242       3.1912       2.4801       3.2330       2.4550
     243       3.1809       2.6418       3.4687       2.1819
     244       3.0292       2.3084       2.6348       2.4528
     245       3.2847       2.4607       3.2451       2.4930
     246       3.3676       2.8124       3.1797       2.3341
     247       2.9423       2.3492       2.8948       2.5572
     248       3.3748       2.6767       3.2048       2.5456
     249       3.0525       2.3499       3.1117       2.6750
     250       2.9753       2.5682       2.4889       2.5146
     251       2.9840       2.3875       2.8526       2.4901
     252       3.0182       2.6346       2.9539       2.4860
     253       3.0975       2.5791       2.3081       2.4414
     254       2.4573       2.6300       2.9174       2.7618
     255       2.6679       2.6262       2.1183       2.3569
     256       3.0064       2.8168       2.5579       2.7984
     257       3.1392       2.4413       2.4592       2.3110
     258       2.7842       2.3666       2.9940       2.3603
     259       2.6898       2.5305       2.7275       2.4784
     260       3.1003       2.4900       3.3866       2.4302
     261       3.0292       2.4764       3.1683       2.6015
     262       2.9474       2.4563       3.0022       2.3129
     263       2.9563       2.3814       3.3003       2.6596
     264       3.0368       2.6396       3.0768       2.5502
     265       2.8080       2.5671       2.5717       2.6287
     266       3.0672       2.4888       2.5959       2.5303
     267       2.6166       2.7815       2.5044       2.3638
     268       2.9168       2.7143       2.5037       2.4184
     269       2.8870       2.3804       2.3015       2.6718
     270       3.1127       2.5078       2.5204       2.4337
     271       2.6083       2.4568       2.4386       2.5991
     272       3.2550       2.6485       3.1494       2.3315
     273       3.0801       2.2663       2.7909       2.6042
     274       3.2779       2.3708       2.4564       2.5026
     275       3.1108       2.1722       2.7318       2.6027
     276       3.0550       2.3544       2.4017       2.6043
     277       3.3110       2.4832       2.7688       2.3081
     278       3.0030       2.4376       3.1726       2.7027
     279       2.9788       2.6072       2.7660       2.6944
     280       3.1406       2.4308       3.4554       2.4752
     281       3.2072       2.4020       2.9885       2.4451
     282       2.8579       2.8720       2.5147       2.3336
     283       2.8332       2.6928       2.5997       2.2886
     284       2.8713       2.5382       3.3480       2.4262
     285       2.5727       2.6349       2.8858       2.5162
     286       2.9732       2.6763       2.3936       2.4999
     287       2.5744       2.5845       2.4706       2.3733
     288       2.4102       2.6969       2.4170       2.6369
     289       2.6936       3.0755       3.1223       2.4055
     290       2.7098       2.9416       2.9524       2.3766
     291       2.8432       2.8508       3.0506       2.6589
     292       2.4219       2.7789       2.9101       2.4696
     293       2.4466       2.6786       2.3016       2.4169
     294       2.2751       3.2232       2.1787       2.3366
     295       2.4444       2.9062       3.2508       2.6634
     296       2.7477       2.3251       2.6726       2.6592
     297       2.5376       2.8025       2.1485       2.7555
     298       2.5458       2.8473       2.4016       2.4664
     299       2.7231       3.0142       2.7434       2.4053
     300       2.5640       2.8485       2.6512       2.4717
     301       2.4901       2.8095       3.1674       2.5731
     302       2.8944       2.5740       3.6388       2.6585
     303       2.5220       3.2387       2.6192       2.6330
     304       2.2034       2.9147       2.6491       2.5194
     305       2.5072       2.9045       2.4956       2.5435
     306       2.9237       3.1771       3.2422       2.5122
     307       2.3866       2.7121       3.2553       2.3676
     308       2.8029       2.7689       2.8742       2.5157
     309       2.6793       3.0871       2.4092       2.3089
     310       2.2372       2.9489       2.6753       2.1835
     311       2.5551       3.0152       2.8151       2.4657
     312       2.6092       2.6360       2.8672       2.4376
     313       2.6697       2.9395       3.0894       2.5154
     314       2.7333       2.8472       2.3517       2.5893
     315       2.4793       2.7305       2.1370       2.3771
     316       2.8889       2.8258       2.4461       2.5155
     317       2.6123       2.6370       2.8428       2.5141
     318       2.5276       2.7198       2.5829       2.6678
     319       2.6419       2.8560       2.6783       2.8591
     320       2.5393       3.1430       1.9495       2.5757
     321       2.6744       2.8060       3.3370       2.7413
     322       2.7842       2.7974       3.7130       2.5139
     323       2.5983       2.3815       3.0345       2.6419
     324       2.4679       2.6366       2.4777       2.2137
     325       2.6202       2.7581       2.2955       2.2437
     326       2.7749       3.1921       2.8819       2.6338
     327       2.7720       2.5304       3.3518       2.6847
     328       3.1945       2.4109       3.7301       2.7817
     329       3.2473       2.4596       3.2325       2.5591
     330       2.6064       2.8571       3.5621       2.5223
     331       2.7926       2.7275       3.9281       2.5494
     332       2.6332       3.0489       4.0865       2.6000
     333       2.6084       2.6886       4.2950       2.6137
     334       2.6450       3.0702       4.0304       2.7498
     335       2.6670       3.0450       4.2110       2.5642
     336       2.7950       2.8385       3.8600       2.6154
     337       2.7685       2.5110       2.7474       2.7273
     338       2.4146       2.8073       2.9287       2.3372
     339       2.3201       2.8131       3.3544       2.4972
     340       2.7382       2.6569       3.5462       2.7280
     341       2.7163       2.8098       3.3118       2.8488
     342       2.6482       2.6474       3.2039       2.6450
     343       3.0003       2.5482       2.8821       2.5040
     344       2.8153       2.6501       2.4138       2.5412
     345       3.3026       2.5839       3.3108       2.6147
     346       2.5009       2.7730       3.4442       2.8971
     347       2.5158       2.4478       3.3774       2.8511
     348       3.3512       2.5859       3.8091       2.9519
     349       3.1042       2.8048       3.6662       2.9177
     350       3.4001       2.7384       2.8725       2.8192
     351       2.6909       2.4344       2.9764       2.7837
     352       2.9314       2.3165       2.9441       3.0833
     353       3.2372       2.7023       2.9113       2.8043
     354       2.9584       2.7726       3.3292       2.6066
     355       2.9716       2.6381       2.8691       2.6319
     356       2.6785       2.5275       2.6585       2.8107
     357       3.1268       2.7513       4.2256       3.2232
     358       2.9287       2.7107       3.4198       2.8635
     359       2.8573       2.8145       3.7024       3.0765
     360       3.2040       2.7443       4.2589       3.6273
     361       3.1900       2.5461       2.5975       2.4672
     362       2.8965       2.7305       2.4592       2.6202
     363       3.1637       2.6407       2.8885       2.8430
     364       2.5894       2.6824       3.2686       2.7323
     365       2.8971       2.7076       2.8356       2.4149
     366       2.9580       2.6396       3.3636       2.9961
     367       2.7101       2.6713       2.0634       2.6165
     368       3.0488       2.4831       2.9635       2.4834
     369       3.2571       2.5699       3.3139       3.0323
     370       3.1819       2.3196       2.6457       2.9644
     371       3.1956       3.0751       3.3318       2.9327
     372       2.9775       2.2639       3.9987       3.2698
     373       2.9102       2.4649       3.4647       3.1683
     374       3.0715       2.6414       3.4308       2.8093
     375       3.0529       2.9110       2.9881       2.8091
     376       3.0258       2.8852       3.0962       2.5792
     377       3.1549       2.6229       2.9292       2.6552
     378       3.3164       2.8209       3.6943       3.1973
     379       3.1196       2.6349       3.2098       2.8696
     380       3.0638       2.6952       2.8130       2.6644
     381       3.2075       2.5502       3.4170       3.2412
     382       3.0320       2.7198       2.7710       2.9090
     383       3.1201       2.4195       3.0274       2.8892
     384       3.2716       2.4684       2.9871       3.0083
     385       3.4464       2.4578       2.8456       2.4555
     386       3.0421       2.5052       3.3483       3.0540
     387       3.1261       2.5304       2.4377       2.7188
     388       3.1367       2.5063       3.4173       2.6756
     389       3.1727       2.5598       3.3149       2.7561
     390       2.9568       2.7341       2.4093       2.4438
     391       3.1295       2.9404       3.0576       2.7715
     392       2.7349       2.8837       2.6917       2.7174
     393       3.4292       2.8809       2.8978       2.4519
     394       3.4199       2.6758       3.1964       2.7051
     395       3.2199       2.4046       3.4035       3.0818
     396       2.9147       2.5687       2.2124       2.4521
     397       3.1505       2.2346       3.6129       2.5879
     398       2.6807       2.6668       3.2722       2.6338
     399       2.4774       2.7901       3.1785       2.7460
     400       2.6246       2.7049       3.0995       2.6404
     401       2.6834       2.5905       2.9908       2.9873
     402       2.5354       2.7040       2.4483       2.6753
     403       2.6914       2.4069       2.7292       2.5998
     404       2.7583       2.8604       3.0684       2.9436
     405       2.6156       2.7359       2.8490       2.7566
     406       2.6491       2.7157       2.9469       2.3190
     407       2.4777       2.9592       2.4645       2.7853
     408       2.3698       2.7946       2.6793       2.3200
     409       2.7623       2.9517       2.2648       2.5628
     410       2.4239       2.8682       2.5028       2.5896
     411       2.7013       2.7257       2.6552       2.5661
     412       2.7783       2.7242       2.5210       2.9527
     413       2.5727       2.8028       2.2930       2.5019
     414       2.8639       2.7858       2.6205       2.8742
     415       2.9780       2.7887       2.0205       2.6997
     416       2.7341       2.5867       2.7575       2.8095
     417       2.5873       2.5625       2.5266       2.5776
     418       2.9351       2.5798       3.5525       2.6915
     419       2.6558       2.7081       2.7697       2.9051
     420       3.1447       2.4039       2.4389       2.6490
     421       3.4613       2.7589       2.3625       2.3569
     422       2.3373       2.6801       2.6775       2.6163
     423       2.7472       2.3714       2.9559       2.8531
     424       2.4394       2.5664       2.6087       2.4618
     425       2.6066       2.7078       2.2991       2.7094
     426       2.7265       2.6121       2.1010       2.8507
