#Len Center	Ang Center	  GalNAc 1	  GalNAc 2	  GalNAc 3	  GalNAc 4	All GalNAc
  1.025000	 54.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 55.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 56.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 57.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 58.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 59.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 60.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 61.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 62.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 63.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 64.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 65.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 66.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 67.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 68.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 69.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 70.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 71.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 72.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 73.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 74.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 75.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 76.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 77.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 78.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 79.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 80.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 81.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 82.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 83.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 84.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 85.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 86.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 87.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 88.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 89.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 90.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 91.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 92.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 93.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 94.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
